
--- [START 2018-08-24_02-09-29] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold1-ex

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train1_3600
valid_dataset.split = list_valid1_400

** net setting **
	pretrain_file = /root/share/project/kaggle/tgs/results/unet-5-scale/fold3/initial/00100000_model.pth

--- [START 2018-08-24_02-09-57] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold1-ex

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train1_3600
valid_dataset.split = list_valid1_400

** net setting **
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100   13.5   120.0  |  0.052  0.951  (0.799) |  0.011  0.986  |  0.008  0.989  |  1 hr 04 min 
0.0100   13.6   120.9  |  0.054  0.948  (0.783) |  0.010  0.985  |  0.008  0.989  |  1 hr 04 min 
0.0100   13.7   121.8  |  0.055  0.944  (0.783) |  0.010  0.986  |  0.007  0.990  |  1 hr 05 min 
0.0100   13.8   122.7  |  0.054  0.949  (0.793) |  0.011  0.986  |  0.009  0.985  |  1 hr 05 min 
0.0100   13.9   123.6  |  0.077  0.937  (0.780) |  0.008  0.988  |  0.006  0.992  |  1 hr 06 min 
0.0100   14.0   124.4  |  0.055  0.947  (0.787) |  0.011  0.984  |  0.010  0.987  |  1 hr 06 min 
0.0100   14.1   125.3  |  0.060  0.948  (0.781) |  0.010  0.984  |  0.011  0.985  |  1 hr 07 min 
0.0100   14.2   126.2  |  0.050  0.950  (0.782) |  0.012  0.982  |  0.008  0.990  |  1 hr 07 min 
0.0100   14.3   127.1  |  0.052  0.948  (0.771) |  0.010  0.986  |  0.010  0.986  |  1 hr 08 min 
0.0100   14.4   128.0  |  0.052  0.944  (0.781) |  0.010  0.986  |  0.005  0.994  |  1 hr 08 min 
0.0100   14.5   128.9  |  0.067  0.946  (0.781) |  0.008  0.988  |  0.005  0.993  |  1 hr 09 min 
0.0100   14.6   129.8  |  0.052  0.944  (0.780) |  0.015  0.979  |  0.009  0.987  |  1 hr 09 min 
0.0100   14.7   130.7  |  0.058  0.947  (0.788) |  0.012  0.984  |  0.010  0.982  |  1 hr 09 min 
0.0100   14.8   131.6  |  0.062  0.943  (0.752) |  0.011  0.984  |  0.018  0.969  |  1 hr 10 min 
0.0100   14.9   132.4  |  0.051  0.942  (0.738) |  0.014  0.981  |  0.012  0.983  |  1 hr 10 min 
0.0100   15.0   133.3  |  0.054  0.948  (0.785) |  0.013  0.980  |  0.015  0.974  |  1 hr 11 min 
0.0100   15.1   134.2  |  0.053  0.945  (0.761) |  0.014  0.982  |  0.010  0.984  |  1 hr 11 min 
0.0100   15.2   135.1  |  0.044  0.948  (0.774) |  0.011  0.985  |  0.020  0.964  |  1 hr 12 min 
0.0100   15.3   136.0  |  0.052  0.949  (0.774) |  0.009  0.987  |  0.024  0.963  |  1 hr 12 min 
0.0100   15.4   136.9  |  0.046  0.949  (0.785) |  0.012  0.985  |  0.009  0.989  |  1 hr 13 min 
0.0100   15.5   137.8  |  0.055  0.946  (0.776) |  0.011  0.985  |  0.007  0.990  |  1 hr 13 min 
0.0100   15.6   138.7  |  0.059  0.944  (0.771) |  0.014  0.983  |  0.012  0.979  |  1 hr 14 min 
0.0100   15.7   139.6  |  0.053  0.945  (0.773) |  0.005  0.994  |  0.007  0.992  |  1 hr 14 min 
0.0100   15.8   140.4  |  0.057  0.944  (0.760) |  0.011  0.986  |  0.012  0.981  |  1 hr 15 min 
0.0100   15.9   141.3  |  0.065  0.937  (0.761) |  0.011  0.984  |  0.013  0.981  |  1 hr 15 min 
0.0100   16.0   142.2  |  0.047  0.951  (0.793) |  0.011  0.986  |  0.005  0.994  |  1 hr 16 min 
0.0100   16.1   143.1  |  0.067  0.939  (0.772) |  0.011  0.985  |  0.009  0.989  |  1 hr 16 min 
0.0100   16.2   144.0  |  0.062  0.943  (0.778) |  0.012  0.984  |  0.010  0.986  |  1 hr 17 min 
0.0100   16.3   144.9  |  0.066  0.937  (0.762) |  0.009  0.988  |  0.021  0.961  |  1 hr 17 min 
0.0100   16.4   145.8  |  0.061  0.948  (0.789) |  0.010  0.984  |  0.011  0.986  |  1 hr 18 min 
0.0100   16.5   146.7  |  0.053  0.948  (0.786) |  0.011  0.983  |  0.011  0.985  |  1 hr 18 min 
0.0100   16.6   147.6  |  0.057  0.947  (0.776) |  0.010  0.985  |  0.010  0.984  |  1 hr 19 min 
0.0100   16.7   148.4  |  0.063  0.943  (0.766) |  0.015  0.982  |  0.015  0.982  |  1 hr 19 min 
0.0100   16.8   149.3  |  0.055  0.944  (0.771) |  0.010  0.986  |  0.032  0.939  |  1 hr 19 min 
0.0100   16.9   150.2  |  0.055  0.944  (0.785) |  0.013  0.983  |  0.009  0.988  |  1 hr 20 min 
0.0100   17.0   151.1  |  0.056  0.948  (0.793) |  0.010  0.985  |  0.008  0.988  |  1 hr 20 min 
0.0100   17.1   152.0  |  0.625  0.733  (0.373) |  0.010  0.985  |  0.016  0.990  |  1 hr 21 min 
0.0100   17.2   152.9  |  0.050  0.948  (0.787) |  0.009  0.988  |  0.005  0.995  |  1 hr 21 min 
0.0100   17.3   153.8  |  0.053  0.949  (0.781) |  0.009  0.987  |  0.014  0.982  |  1 hr 22 min 
0.0100   17.4   154.7  |  0.062  0.947  (0.787) |  0.008  0.989  |  0.007  0.990  |  1 hr 22 min 
0.0100   17.5   155.6  |  0.058  0.945  (0.779) |  0.008  0.990  |  0.010  0.984  |  1 hr 23 min 
0.0100   17.6   156.4  |  0.059  0.951  (0.783) |  0.010  0.986  |  0.007  0.991  |  1 hr 23 min 
0.0100   17.7   157.3  |  0.051  0.945  (0.785) |  0.009  0.986  |  0.011  0.983  |  1 hr 24 min 
0.0100   17.8   158.2  |  0.058  0.950  (0.776) |  0.009  0.989  |  0.005  0.994  |  1 hr 24 min 
0.0100   17.9   159.1  |  0.056  0.943  (0.753) |  0.012  0.982  |  0.008  0.989  |  1 hr 25 min 
0.0100   18.0   160.0  |  0.050  0.945  (0.762) |  0.011  0.983  |  0.008  0.987  |  1 hr 25 min 
