
--- [START 2018-08-23_22-25-07] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold2

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train2_3600
valid_dataset.split = list_valid2_400

** net setting **
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100   13.0   115.6  |  0.055  0.961  (0.784) |  0.007  0.990  |  0.006  0.990  |  1 hr 06 min 
0.0100   13.1   116.4  |  0.050  0.960  (0.768) |  0.012  0.986  |  0.008  0.989  |  1 hr 07 min 
0.0100   13.2   117.3  |  0.050  0.957  (0.774) |  0.007  0.989  |  0.005  0.993  |  1 hr 07 min 
0.0100   13.3   118.2  |  0.051  0.952  (0.772) |  0.012  0.985  |  0.009  0.989  |  1 hr 08 min 
0.0100   13.4   119.1  |  0.057  0.956  (0.770) |  0.007  0.990  |  0.013  0.981  |  1 hr 08 min 
0.0100   13.5   120.0  |  0.047  0.946  (0.729) |  0.006  0.992  |  0.026  0.951  |  1 hr 09 min 
0.0100   13.6   120.9  |  0.051  0.954  (0.756) |  0.008  0.988  |  0.008  0.988  |  1 hr 09 min 
0.0100   13.7   121.8  |  0.046  0.957  (0.770) |  0.009  0.987  |  0.006  0.990  |  1 hr 10 min 
0.0100   13.8   122.7  |  0.060  0.951  (0.770) |  0.006  0.991  |  0.006  0.992  |  1 hr 10 min 
0.0100   13.9   123.6  |  0.057  0.953  (0.772) |  0.006  0.991  |  0.004  0.994  |  1 hr 11 min 
0.0100   14.0   124.4  |  0.070  0.955  (0.780) |  0.006  0.991  |  0.005  0.992  |  1 hr 11 min 
0.0100   14.1   125.3  |  0.046  0.958  (0.775) |  0.009  0.987  |  0.014  0.985  |  1 hr 12 min 
0.0100   14.2   126.2  |  0.069  0.947  (0.779) |  0.007  0.990  |  0.009  0.988  |  1 hr 12 min 
0.0100   14.3   127.1  |  0.044  0.957  (0.767) |  0.010  0.987  |  0.005  0.993  |  1 hr 13 min 
0.0100   14.4   128.0  |  0.048  0.951  (0.772) |  0.008  0.988  |  0.005  0.993  |  1 hr 13 min 
0.0100   14.5   128.9  |  0.049  0.956  (0.761) |  0.006  0.991  |  0.005  0.994  |  1 hr 14 min 
0.0100   14.6   129.8  |  0.045  0.957  (0.765) |  0.008  0.989  |  0.008  0.988  |  1 hr 14 min 
0.0100   14.7   130.7  |  0.050  0.958  (0.767) |  0.007  0.990  |  0.006  0.991  |  1 hr 15 min 
0.0100   14.8   131.6  |  0.057  0.959  (0.784) |  0.006  0.992  |  0.005  0.993  |  1 hr 15 min 
0.0100   14.9   132.4  |  0.048  0.955  (0.766) |  0.009  0.987  |  0.005  0.992  |  1 hr 16 min 
0.0100   15.0   133.3  |  0.046  0.957  (0.770) |  0.009  0.989  |  0.007  0.990  |  1 hr 16 min 
0.0100   15.1   134.2  |  0.045  0.958  (0.760) |  0.009  0.988  |  0.007  0.991  |  1 hr 17 min 
